NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Brūnie rīsi Rimi GreatLife 4x125g,374.3,1.9,0.5,76.8,0.9,7.1,0,2.78,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811426_PCE_LV",Iepakoti produkti,1.39
Pupiņas I Love Eco melnas 380g/230g,93.2,0.5,0,14,0.5,5.4,0.2,5.17,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808078_PCE_LV",Iepakoti produkti,1.19
Marinēti gurķi Rimi 2-5cm 340g/180g,42.1,0.4,0,7.7,5.4,1,1.5,6.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_802447_PCE_LV",Iepakoti produkti,1.15
Zaļās olīvas Hojiblanca Rimi bez kauliņiem 935/455g,141.7,15,2,0,0,0.9,3.8,4.51,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_807162_PCE_LV",Iepakoti produkti,2.05
Makaroni Dobele Nr.122 Penne Rigate 500g,361.9,1,0,75,2,12,0,2.7,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_161756_PCE_LV",Iepakoti produkti,1.35
Sālīti gurķi Rimi 670g/390g,10.3,0.5,0.1,1.3,0.5,0.5,1.6,7.41,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_807146_PCE_LV",Iepakoti produkti,2.89
Marinēta paprika Rimi apcepta 670g/395g,32.5,0.7,0,4.6,3.3,0.7,1.5,10.86,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_802648_PCE_LV",Iepakoti produkti,4.29
Pilngraudu kviešu milti Herkuless 1kg,332.7,2.3,1.3,59.7,1.3,11.9,0,2.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_166718_PCE_LV",Iepakoti produkti,2.29
Buljons I Love Eco dārzeņu 66g,330.1,19,10,34,14,3.3,35,32.58,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808328_PCE_LV",Iepakoti produkti,2.15
Lēcas Rimi 400g/240g,79.1,0.5,0,9,0,6.3,0.7,3.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_803529_PCE_LV",Iepakoti produkti,0.79
"Auzu pārslas Herkuless pilngraudu 1,5kg",370.2,7,1.2,58.7,0.7,12,0,2.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_140182_PCE_LV",Iepakoti produkti,3.59
Šķeltie zirņi Rimi Smart 800g,347,1.8,0.3,59.6,3.2,21,0.1,1.1,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808414_PCE_LV",Iepakoti produkti,0.88
Pasta Selection by Rimi Gigli 500g,363.8,1.5,0,72.5,0,12.5,0,3.98,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_806907_PCE_LV",Iepakoti produkti,1.99
Zemesriekstu sviests Nutego ar riekstu gabaliņiem 250g,638.1,53.5,6.2,14.2,3.3,28.2,0,13.96,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_168558_PCE_LV",Iepakoti produkti,3.49
Rīsi Valdo klasiskie fasēti 1kg,351.3,0.6,0.1,77.7,0.2,6.8,0,2.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_113710_PCE_LV",Iepakoti produkti,2.39
Konservēti zirnīši Spilva 690g/450g,70.3,0.4,0,11,7.1,4.6,0.8,6.11,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_113570_PCE_LV",Iepakoti produkti,2.75
Šķīstošs kakao dzēriens Rimi 300g,376.9,2.2,1.1,82,82,4.2,0,5.63,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808731_PCE_LV",Iepakoti produkti,1.69
Marinēti gurķi Kok muižkungu 1000g/500g,15.5,0.8,0,4,2.5,0.8,1.2,6.78,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_154180_PCE_LV",Iepakoti produkti,3.39
Zirnīši Bonduelle Kids 200g/130g,76.7,0.8,0,9.1,0,5.5,0.6,12.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_129718_PCE_LV",Iepakoti produkti,1.65
Auzu pārslas Herkuless ātri vārāmās 450g,370.2,7,1.2,58.7,0.7,12.5,0,3.76,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_114469_PCE_LV",Iepakoti produkti,1.69
Rīsu pārslas Rimi ātri vārāmās 500g,354.4,1,0.1,77,0.3,7,0,5.58,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801675_PCE_LV",Iepakoti produkti,2.79
Pelēkie zirņi Spilva ar žāvētu gaļu 570g,142,6.3,5.7,14,1.2,7,1.2,7.46,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_127146_PCE_LV",Iepakoti produkti,4.25
Kokosriekstu piens Fudo 400ml,177.1,18.2,15.4,2.5,2.4,0.9,0,3.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_172985_PCE_LV",Iepakoti produkti,1.59
