NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Gāzēts dzēriens Rimi ar citrona garšu 2l,39.7,0,0,9.6,9.5,0,0,0.66,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1361161_PCE_LV",Dzērieni,1.32
Gāzēts dzēriens Cola Rimi 2l,40.6,0,0,9.9,9.9,0,0,0.66,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1360934_PCE_LV",Dzērieni,1.32
Nektārs Rimi plūmju 1l,57.4,0,0,14,13.5,0.1,0.1,1.85,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_803333_PCE_LV",Dzērieni,1.85
Kvass Ulmaņlaiku 2l,28.7,0,0,6.9,6.3,0.2,0,1.1,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1354213_PCE_LV",Dzērieni,2.19
"Bezalkoholiskais dzirkstošā vīna dzēriens Mionetto 0,75l",11.5,0.5,0.1,2.6,2,0.5,0,9.32,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1368827_PCE_LV",Dzērieni,6.99
Gāzēts dzēriens Sprite 2l,42.1,0,0,10.2,10.2,0,0,1.5,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1367112_PCE_LV",Dzērieni,2.99
Nektārs Rimi multiaugļu 30% 1l,53.1,0,0,13,13,0.1,0,1.65,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801009_PCE_LV",Dzērieni,1.65
Sulas dzēriens Tymbark multivitamīnu 2l,19.8,0,0,4.8,0,0,0,1.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_135276_PCE_LV",Dzērieni,2.89
Kombuča dzīvības dzēr. ananāsu 330ml,24.9,0,0,6.2,6.1,0,0,9.06,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_174238_PCE_LV",Dzērieni,2.99
"Limonāde Gardu Muti rabarberu zelteris 0,5l",7.2,0,0,7.3,6.9,0,0,4.58,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1363696_PCE_LV",Dzērieni,2.29
