NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Zivju pirkstiņi Esva 450g,222.0,9,0.7,26,1.4,8,1,8.87,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_220738_PCE_LV",Saldēti produkti,3.99
Saldējums Karlsons plombīra ar dzērveņu piedevu 100ml/80g,292.1,21,13,25,24,1.8,0.1,12.38,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4003236_PCE_LV",Saldēti produkti,0.99
Saldējums Rūjiena ar iebiezinātā piena piedevu 110ml/65g,284.9,11.2,8,41.4,30.7,4.3,0.4,14.92,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4003075_PCE_LV",Saldēti produkti,0.97
Cūku pupas Hortex saldētas 400g,73.6,0.5,0.1,7.8,2.6,6.8,0,7.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_939546_PCE_LV",Saldēti produkti,2.99
Dārzeņi Hortex Julienne sēnes saldētas 400g,25.3,0.5,0.1,2.4,1,2,0,6.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_267544_PCE_LV",Saldēti produkti,2.79
Ogu maisījums Rimi saldēts 400g,60.7,1.3,0.2,8.3,7,1.1,0,8.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812712_PCE_LV",Saldēti produkti,3.59
Kārtainā rauga mīkla plāksnēs saldēta 500g,348.2,18,12,39,5,6.8,1.1,5.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_277282_PCE_LV",Saldēti produkti,2.95
Pikantās kartupeļu daiviņas apceptas Rimi 1kg,125.0,3.4,0.5,20,0.5,2.2,0.5,2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811413_PCE_LV",Saldēti produkti,2.99
Picas pamatne Viči saldēta 320g,282.5,3,0.3,53,4,10,2,6.72,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_280796_PCE_LV",Saldēti produkti,2.15
Pikšas smalkmasa vakuumā saldēta MSC 450g,81.7,0.6,0.1,0,0,19,0,13.31,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_284341_PCE_LV",Saldēti produkti,5.99
Pica Royale Rimi 570g,218.9,8.3,2.9,24.6,3.4,10.2,1.1,9.63,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_810802_PCE_LV",Saldēti produkti,5.49
Garneles Ziemeļu 250/350 MSC saldētas 500g/450g,66.0,0.7,0.1,0,0,15,1.8,20.64,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_973153_PCE_LV",Saldēti produkti,9.29
Cepampelmeņi ar gaļu un sieru 450g,265.3,13,3.5,26,1.4,11,1.3,8.87,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_266055_PCE_LV",Saldēti produkti,3.99
Pelmeņi Rīgas miesnieks mini ar cūkgaļu 450g,256.5,12,3.9,27,1.9,10,1.4,7.53,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_996263_PCE_LV",Saldēti produkti,3.39
Dārzeņi Hortex zaļās pākšu pupiņas 400g,30.8,0.2,0,3.3,0,2.2,0,5.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_223914_PCE_LV",Saldēti produkti,2.19
"Mīdiju gaļa Rseafood saldēta ASC 300/500, 180g",99.2,2.6,0.5,4.3,0,13.7,0.8,11.06,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_288649_PCE_LV",Saldēti produkti,1.99
Pelmeņi Traditional ar cūkgaļu 400g,202.7,8.8,2.7,22.1,0.2,7.6,0.9,10.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_296506_PCE_LV",Saldēti produkti,4.19
Plombīra saldējums ar vaniļas garšu vafeļu glāzītē Tio 75g,215.3,11.5,0,24.8,19,3.2,0,11.87,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_298474_PCE_LV",Saldēti produkti,0.89
Atlantijas laša maltā gaļa Viči sald.1kg,218.5,17.6,3.1,0.4,0,13.9,0.8,4.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_299741_PCE_LV",Saldēti produkti,4.99
"Mintajas fileja Rimi bez ādas, bez astes, saldēta MSC 380g",55.7,0.6,0.1,0,0,12.4,0.2,10.5,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_813369_PCE_LV",Saldēti produkti,3.99
"Pica Rimi Smart ar šķiņķi, Edam un Mozzarella sieru 350g",220.4,6.3,2.4,28.9,3.5,10.6,1.1,4.83,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815857_PCE_LV",Saldēti produkti,1.69
Mango un avenes Rimi saldētas 400g,54.0,0.3,0,10.3,9.9,0.9,0,9.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812719_PCE_LV",Saldēti produkti,3.99
Dārzeņu maisījums Rimi vasaras cepšanai 400g,25.1,0,0,2.7,1.7,2,0,4.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808968_PCE_LV",Saldēti produkti,1.99
