NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Sojas proteīna šnicele Garden Gourmet vegāniskā 180g,234.9,11.7,0.8,17.6,1.4,12.3,0.8,14.94,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_996601_PCE_LV",Produkti vegāniem un veģitāriešiem,2.69
Jogurts Planto Pina colada vegāniem 130g,176.1,13,12,14,8.8,0.9,0,14.54,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_993581_PCE_LV",Produkti vegāniem un veģitāriešiem,1.89
Sojas dzēriens Alpro ar kalciju 1l,39.0,1.8,0.3,2.5,2.5,3,0.1,3.39,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_201388_PCE_LV",Produkti vegāniem un veģitāriešiem,3.39
Pelmeņi Meat future 400g,211.0,5.2,1.4,29,2.5,11,1.2,11.22,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_981646_PCE_LV",Produkti vegāniem un veģitāriešiem,4.49
Sojas dzēriens Alpro Plant Protein 1l,57.1,2.8,0.5,2.5,2.5,5,0.1,2.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4003973_PCE_LV",Produkti vegāniem un veģitāriešiem,2.59
Vegāniskais augu produkts Gourmet Green ar gouda garšu 150g,292.8,23,21,22,0,0,2.3,19.93,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4000780_PCE_LV",Produkti vegāniem un veģitāriešiem,2.99
Vegānisks deserts Valsoia Stracciatella ar šokolādes gabaliņiem 2x125g,93.5,2.9,1.1,13,12,3.2,0,8.36,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4004311_PCE_LV",Produkti vegāniem un veģitāriešiem,2.09
Augu izcelsmes produkts Oddlygood rīvēts 150g,295.4,24,14,19,0,1,2.3,17.0,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_993757_PCE_LV",Produkti vegāniem un veģitāriešiem,2.55
Augu krēms Oddlygood putošanai UHT 250g,252.9,26,25,6.1,2.1,0.5,0.1,7.71,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_993783_PCE_LV",Produkti vegāniem un veģitāriešiem,1.95
"Smēriņš Smiltene ar Tzaziki garšu, vegānisks 200g",309.3,30,27.7,8.2,1.5,2.6,1.3,10.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_999352_PCE_LV",Produkti vegāniem un veģitāriešiem,2.19
