NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Tomāti ķekaros 2. šķira kg,22,0.25,0.03,4.8,3.2,1.1,0,3.49,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_268771_KGM_LV",Augļi un Dārzeņi,3.49
Vīģes,74,0.3,0,19,16,0.8,0,0.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_274969_PCE_LV",Augļi un Dārzeņi,0.99
Ingvers kg,80,0.8,0.2,18,1.7,1.8,0.01,6.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_276593_KGM_LV",Augļi un Dārzeņi,6.99
Zemenes 1. šķira ,32,0.3,0,7.7,4.9,0.7,0,15.96,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_214631_PCE_LV",Augļi un Dārzeņi,3.99
"Loki 100g, Latvija",32,0.2,0,7,2.3,1.8,0.01,15.90,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_938479_PCE_LV",Augļi un Dārzeņi,1.59
Pasifloras auglis,97,0.7,0,23.38,11.2,2.2,0.02,12.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_289586_KGM_LV",Augļi un Dārzeņi,12.99
Baklažāni 225-400g/gab kg,25,0.2,0,6,3.5,1,0,4.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_269170_KGM_LV",Augļi un Dārzeņi,4.99
Kabači kg,17,0.3,0.1,3.1,2.5,1.2,0,1.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_278088_KGM_LV",Augļi un Dārzeņi,1.99
Plūmes sarkanās,46,0.3,0,11,9.9,0.7,0,4.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_212348_KGM_LV",Augļi un Dārzeņi,4.99
Kokosrieksts,354,33.49,0,15.23,6.23,3.33,0.02,1.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_1.0,f_auto,q_auto:low,w_350/d_ecommerce:backend-fallback.png/MAT_909915_PCE_LV",Augļi un Dārzeņi,1.59
