NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Salami Rēzeknes Kroga kūpināti-vītināta 270g,261.5,18.9,7.3,0.7,0.7,21.7,3.1,14.41,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4004795_PCE_LV",Gaļas produkti,3.89
Aļņa gaļas desa Rīgas Miesnieks pilndūmu 180g,310.5,25.5,6.8,1.4,0.3,19.4,2.5,19.94,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4004842_PCE_LV",Gaļas produkti,3.59
Pīles kāj.tulp.Kitchen Me ar garšv. 600g,239.2,20.2,5.9,0.3,0.1,14.5,1,18.32,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_908244_PCE_LV",Gaļas produkti,10.99
Humoss Lido ar spinātiem 200g,156.3,13,1.6,7.3,0.4,3.5,1.9,14.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4005961_PCE_LV",Gaļas produkti,2.89
Stavrida vītināta Beer Club 36g,228.3,4,0,2,0,46,0,38.61,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_286043_PCE_LV",Gaļas produkti,1.39
Sviestmaize Rimi ar lasi 140g,234.9,9.7,1.7,27,4.4,8.8,1.3,15.64,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_804091_PCE_LV",Gaļas produkti,2.19
Smēriņš NOA lēcu-karija 175g,293.0,20.1,1.6,17.5,6.8,6.8,1.6,17.09,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_923288_PCE_LV",Gaļas produkti,2.99
Gaļa kungu karsti kūpināta kg,175.9,11.7,3.9,0.6,0.1,16.1,1.3,11.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_936837_KGM_LV",Gaļas produkti,11.99
"Desa vītināta ar tītara gaļu ,150g",446.9,36.5,12,6,5,23.5,5.4,21.27,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_938992_PCE_LV",Gaļas produkti,3.19
Siļķu fileja Matje ar marinētiem sīpoliem 500g/300g,444.1,45.8,2.3,0.4,0,8.5,4,14.97,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_942791_PCE_LV",Gaļas produkti,4.49
